Title,Season,Episode,Description,Duration,Year,Director,Rating
Rose,1,1,"<p>Rose Tyler meets a mysterious stranger called the Doctor, and realises Earth is in danger.</p>",45,2005,Keith Boak,7.4
The End of the World,1,2,"<p>The Doctor takes Rose on her first voyage through time, to the year five billion and the end of planet Earth.</p>",45,2005,Euros Lyn,7.3
The Unquiet Dead,1,3,<p>Charles Dickens and the Doctor team up as corpses stalk the streets of Victorian Cardiff.</p>,45,2005,Euros Lyn,7.2
Aliens of London,1,4,"<p>Rose is taken home, but a spaceship crashes in the Thames and London is closed off... Enter the Slitheen!</p>",45,2005,Joe Ahearne,6.9
World War Three,1,5,<p>Time is running out for the Doctor as Downing Street announces mankind's first Interplanetary War.</p>,45,2005,Joe Ahearne,7
Dalek,1,6,<p>The Doctor is shattered and Earth is in danger as he and Rose discover the Time Lords' deadliest enemy beneath Utah.</p>,45,2005,Joe Ahearne,7.5
The Long Game,1,7,"<p>The Doctor investigates a strange satellite, and Adam's skills as an assistant are tested.</p>",45,2005,Brian Grant,7.6
Father's Day,1,8,"<p>Rose witnesses the day her father died, but interfering leads to terrible consequences... and sinister creatures!</p>",45,2005,Joe Ahearne,7.8
The Empty Child,1,9,<p>Homeless children in wartime London are terrorised by an unearthly child. Plus we meet a certain Captain Jack...</p>,45,2005,James Hawes,8.1
The Doctor Dances,1,10,"<p>'Are you my mummy?' The Child's plague is spreading throughout wartime London, and it looks like Captain Jack is doomed.</p>",45,2005,James Hawes,8.4
Boom Town,1,11,"<p>The Doctor, Rose and Captain Jack discover a Slitheen is behind a plan to build a nuclear power station in Cardiff.</p>",45,2005,Joe Ahearne,7.6
Bad Wolf,1,12,"<p>The Doctor, Rose and Captain Jack fight for their lives on board the Game Station, but disaster strikes when the Daleks capture Rose!</p>",45,2005,Joe Ahearne,8.6
The Parting of the Ways,1,13,<p>The Ninth Doctor's final episode is an epic encounter with the Daleks.</p>,45,2005,Joe Ahearne,9.3
