Title,Season,Episode,Description,Duration,Year,Director,Rating
"An Unearthly Child (An Unearthly Child, Part One)",1,1,"<p>Barbara Wright and Ian Chesterton, two humble teachers during 1963, are surprised by a bright student named Susan Foreman. Feeling inquisitive of her upbringing, they seek out her residence to learn who nurtured such a genius. There, they discover a junkyard inhabited by her grandfather, simply known as ""the Doctor"", and he doesn't want them lurking about.</p><p>When the teachers refuse to leave, they discover that an ordinary police box is actually bigger on the inside. The Doctor decides they know too much about his and Susan's otherworldly origins and takes them on a journey across space and time in his TARDIS, the place he and Susan now call home.</p>",25,1963,Waris Hussein,7.9
"The Cave of Skulls (An Unearthly Child, Part Two)",1,2,"<p>Barbara Wright and Ian Chesterton, two humble teachers during 1963, are surprised by a bright student named Susan Foreman. Feeling inquisitive of her upbringing, they seek out her residence to learn who nurtured such a genius. There, they discover a junkyard inhabited by her grandfather, simply known as ""the Doctor"", and he doesn't want them lurking about.</p><p>When the teachers refuse to leave, they discover that an ordinary police box is actually bigger on the inside. The Doctor decides they know too much about his and Susan's otherworldly origins and takes them on a journey across space and time in his TARDIS, the place he and Susan now call home.</p>",25,1963,Waris Hussein,7.1
"The Forest of Fear (An Unearthly Child, Part Three)",1,3,"<p>Barbara Wright and Ian Chesterton, two humble teachers during 1963, are surprised by a bright student named Susan Foreman. Feeling inquisitive of her upbringing, they seek out her residence to learn who nurtured such a genius. There, they discover a junkyard inhabited by her grandfather, simply known as ""the Doctor"", and he doesn't want them lurking about.</p><p>When the teachers refuse to leave, they discover that an ordinary police box is actually bigger on the inside. The Doctor decides they know too much about his and Susan's otherworldly origins and takes them on a journey across space and time in his TARDIS, the place he and Susan now call home.</p>",25,1963,Waris Hussein,6.9
"The Firemaker (An Unearthly Child, Part Four)",1,4,"<p>Barbara Wright and Ian Chesterton, two humble teachers during 1963, are surprised by a bright student named Susan Foreman. Feeling inquisitive of her upbringing, they seek out her residence to learn who nurtured such a genius. There, they discover a junkyard inhabited by her grandfather, simply known as ""the Doctor"", and he doesn't want them lurking about.</p><p>When the teachers refuse to leave, they discover that an ordinary police box is actually bigger on the inside. The Doctor decides they know too much about his and Susan's otherworldly origins and takes them on a journey across space and time in his TARDIS, the place he and Susan now call home.</p>",25,1963,Waris Hussein,7.1
"The Dead Planet (The Daleks, Part One)",1,5,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1963,Christopher Barry,7.3
"The Survivors (The Daleks, Part Two)",1,6,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1963,Christopher Barry,7.3
"The Escape (The Daleks, Part Three)",1,7,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1964,Richard Martin,7.3
"The Ambush (The Daleks, Part Four)",1,8,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1964,Christopher Barry,7.3
"The Expedition (The Daleks, Part Five)",1,9,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1964,Christopher Barry,7
"The Ordeal (The Daleks, Part Six)",1,10,"<p>The TARDIS has brought the travellers to the planet Skaro where they meet two indigenous races — the Daleks, malicious mutant creatures encased in armoured travel machines, and the Thals, beautiful humanoids with pacifist principles. They convince the Thals of the need to fight for their own survival.</p><p>Joining forces with them and braving Skaro's many dangers, they launch a two-pronged attack on the Dalek city. The Daleks are all killed when, during the course of the fighting, their power supply is cut off.</p>",25,1964,Richard Martin,7.1
